Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Avg_Working_time,Years_At_Company_Bin,Percent_Salary_Hike_Bin,Years_With_Current_Manager_Bin
51,No,Travel_Rarely,Sales,6,2,Life Sciences,1,1,Female,1,Healthcare Representative,Married,131160,1,11,8,0,1,6,1,0,0,3,3,3,4,2,7.373650623,0-1 years,10-15 % Salary Hike,Less than Year
31,Yes,Travel_Frequently,Research & Development,10,1,Life Sciences,1,2,Female,1,Research Scientist,Single,41890,0,23,8,1,6,3,5,1,4,2,4,3,2,4,7.718968927,2-5 years,20-25 % Salary Hike,2-5 years
32,No,Travel_Frequently,Research & Development,17,4,Other,1,3,Male,4,Sales Executive,Married,193280,1,15,8,3,5,2,5,0,3,3,3,2,2,1,7.013240358,2-5 years,10-15 % Salary Hike,2-5 years
38,No,Non-Travel,Research & Development,2,5,Life Sciences,1,4,Male,3,Human Resources,Married,83210,3,11,8,3,13,5,8,7,5,2,3,4,4,3,7.193678487,5-10 years,10-15 % Salary Hike,2-5 years
32,No,Travel_Rarely,Research & Development,10,1,Medical,1,5,Male,1,Sales Executive,Single,23420,4,12,8,2,9,2,6,0,4,3,3,4,1,3,8.006174603,5-10 years,10-15 % Salary Hike,2-5 years
46,No,Travel_Rarely,Research & Development,8,3,Life Sciences,1,6,Female,4,Research Director,Married,40710,3,13,8,0,28,5,7,7,7,3,3,3,2,2,10.79609587,5-10 years,10-15 % Salary Hike,5-10 years
28,Yes,Travel_Rarely,Research & Development,11,2,Medical,1,7,Male,2,Sales Executive,Single,58130,2,20,8,1,5,2,0,0,0,3,4,1,3,1,6.923570402,Less than year,15-20 % Salary Hike,Less than Year
29,No,Travel_Rarely,Research & Development,18,3,Life Sciences,1,8,Male,2,Sales Executive,Married,31430,2,22,8,3,10,2,0,0,0,3,4,1,2,3,6.725620713,Less than year,20-25 % Salary Hike,Less than Year
31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,9,Male,3,Laboratory Technician,Married,20440,0,21,8,0,10,2,9,7,8,3,4,2,4,3,7.236498792,5-10 years,20-25 % Salary Hike,5-10 years
25,No,Non-Travel,Research & Development,7,4,Medical,1,10,Female,4,Laboratory Technician,Divorced,134640,1,13,8,1,6,2,6,1,5,3,3,2,1,3,7.080087844,5-10 years,10-15 % Salary Hike,2-5 years
45,No,Travel_Rarely,Research & Development,17,2,Medical,1,11,Male,2,Laboratory Technician,Married,79910,0,13,8,2,21,2,20,4,10,2,3,3,4,3,8.403485477,10+ years,10-15 % Salary Hike,5-10 years
36,No,Travel_Rarely,Research & Development,28,1,Life Sciences,1,12,Male,1,Laboratory Technician,Married,33770,0,12,8,2,16,2,15,10,11,3,3,3,4,3,7.068954587,10+ years,10-15 % Salary Hike,10+ years
55,No,Travel_Rarely,Research & Development,14,4,Life Sciences,1,13,Female,1,Sales Executive,Single,55380,0,17,8,0,37,2,36,4,13,3,3,4,1,3,9.30140951,Less than year,15-20 % Salary Hike,10+ years
